Step_ID,Obs_Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,MESH_mean,MESH_max,MESH_min,MESH_std,MESH_mean_dt,MESH_max_dt
obs_wrf-s3cn_arw_20150525-0000_24_26_047_02,obs_wrf-s3cn_arw_20150525-0000_24_26_047,2015-05-26 02:00:00,26.00000,2.00000,3.00000,-92.90176,33.32884,10.94694,21.05371,0.00000,5.21348,-0.10362,-11.00488
obs_wrf-s3cn_arw_20150525-0000_24_25_048_00,obs_wrf-s3cn_arw_20150525-0000_24_25_048,2015-05-26 00:00:00,24.00000,0.00000,1.00000,-94.21384,34.96207,11.39321,32.66797,1.39844,6.25082,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_24_25_048_01,obs_wrf-s3cn_arw_20150525-0000_24_25_048,2015-05-26 01:00:00,25.00000,1.00000,2.00000,-93.65036,35.04525,10.56677,20.97461,2.95605,5.14883,-0.82643,-11.69336
obs_wrf-s3cn_arw_20150525-0000_24_24_049_00,obs_wrf-s3cn_arw_20150525-0000_24_24_049,2015-05-26 00:00:00,24.00000,0.00000,1.00000,-93.18814,34.97475,13.29807,51.03418,0.00000,12.90008,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_24_24_050_00,obs_wrf-s3cn_arw_20150525-0000_24_24_050,2015-05-26 00:00:00,24.00000,0.00000,1.00000,-94.64200,35.12643,12.53423,19.50879,6.04590,3.46402,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_24_24_051_00,obs_wrf-s3cn_arw_20150525-0000_24_24_051,2015-05-26 00:00:00,24.00000,0.00000,1.00000,-96.10441,39.68798,10.02186,27.78223,0.05664,5.61314,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_24_25_052_00,obs_wrf-s3cn_arw_20150525-0000_24_25_052,2015-05-26 00:00:00,24.00000,0.00000,1.00000,-95.10681,40.09362,13.69265,28.96387,0.00000,6.81597,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_24_25_052_01,obs_wrf-s3cn_arw_20150525-0000_24_25_052,2015-05-26 01:00:00,25.00000,1.00000,2.00000,-94.66571,40.32739,11.59533,32.87500,0.96973,6.98331,-2.09732,3.91113
obs_wrf-s3cn_arw_20150525-0000_25_25_053_00,obs_wrf-s3cn_arw_20150525-0000_25_25_053,2015-05-26 01:00:00,25.00000,1.00000,1.00000,-97.28859,29.72033,9.14050,15.98633,1.96484,2.87930,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_25_26_054_00,obs_wrf-s3cn_arw_20150525-0000_25_26_054,2015-05-26 01:00:00,25.00000,1.00000,1.00000,-95.23411,30.85140,12.75821,21.07715,3.99805,3.56574,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_25_26_054_01,obs_wrf-s3cn_arw_20150525-0000_25_26_054,2015-05-26 02:00:00,26.00000,2.00000,2.00000,-94.92596,30.68130,14.45409,40.07812,3.48242,5.74572,1.69589,19.00098
obs_wrf-s3cn_arw_20150525-0000_25_25_055_00,obs_wrf-s3cn_arw_20150525-0000_25_25_055,2015-05-26 01:00:00,25.00000,1.00000,1.00000,-92.93873,32.16461,12.77109,41.44629,0.00000,8.60700,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_25_26_056_00,obs_wrf-s3cn_arw_20150525-0000_25_26_056,2015-05-26 01:00:00,25.00000,1.00000,1.00000,-94.55581,32.31021,8.56921,18.52344,2.75293,3.02990,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_25_26_056_01,obs_wrf-s3cn_arw_20150525-0000_25_26_056,2015-05-26 02:00:00,26.00000,2.00000,2.00000,-93.84506,32.46120,9.17943,24.39648,2.96973,3.96396,0.61023,5.87305
obs_wrf-s3cn_arw_20150525-0000_25_25_057_00,obs_wrf-s3cn_arw_20150525-0000_25_25_057,2015-05-26 01:00:00,25.00000,1.00000,1.00000,-93.16422,34.71017,8.17658,21.37598,1.98145,4.04966,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_25_26_058_00,obs_wrf-s3cn_arw_20150525-0000_25_26_058,2015-05-26 01:00:00,25.00000,1.00000,1.00000,-93.15214,35.39124,18.89236,38.32715,2.53223,7.93150,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_25_26_058_01,obs_wrf-s3cn_arw_20150525-0000_25_26_058,2015-05-26 02:00:00,26.00000,2.00000,2.00000,-92.95582,35.60231,14.49695,33.52344,3.25000,5.97193,-4.39541,-4.80371
obs_wrf-s3cn_arw_20150525-0000_25_25_059_00,obs_wrf-s3cn_arw_20150525-0000_25_25_059,2015-05-26 01:00:00,25.00000,1.00000,1.00000,-96.35330,40.59090,11.93803,32.28809,0.00000,7.23508,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_26_31_060_00,obs_wrf-s3cn_arw_20150525-0000_26_31_060,2015-05-26 02:00:00,26.00000,2.00000,1.00000,-98.05595,28.72429,12.71479,24.54980,3.86719,5.84978,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_26_31_060_01,obs_wrf-s3cn_arw_20150525-0000_26_31_060,2015-05-26 03:00:00,27.00000,3.00000,2.00000,-97.80754,28.77254,13.72425,37.38672,2.06055,6.68127,1.00946,12.83691
obs_wrf-s3cn_arw_20150525-0000_26_31_060_02,obs_wrf-s3cn_arw_20150525-0000_26_31_060,2015-05-26 04:00:00,28.00000,4.00000,3.00000,-98.04955,28.37558,13.31899,36.06543,0.00000,8.89950,-0.40526,-1.32129
obs_wrf-s3cn_arw_20150525-0000_26_31_060_03,obs_wrf-s3cn_arw_20150525-0000_26_31_060,2015-05-26 05:00:00,29.00000,5.00000,4.00000,-97.64448,28.39599,11.97140,46.10352,0.00781,8.85959,-1.34760,10.03809
obs_wrf-s3cn_arw_20150525-0000_26_31_060_04,obs_wrf-s3cn_arw_20150525-0000_26_31_060,2015-05-26 06:00:00,30.00000,6.00000,5.00000,-97.43687,28.35120,12.04758,26.47949,1.32227,5.11561,0.07618,-19.62402
obs_wrf-s3cn_arw_20150525-0000_26_31_060_05,obs_wrf-s3cn_arw_20150525-0000_26_31_060,2015-05-26 07:00:00,31.00000,7.00000,6.00000,-97.15231,28.40351,10.86568,22.20410,2.39160,4.26827,-1.18191,-4.27539
obs_wrf-s3cn_arw_20150525-0000_26_28_061_00,obs_wrf-s3cn_arw_20150525-0000_26_28_061,2015-05-26 02:00:00,26.00000,2.00000,1.00000,-95.62741,29.62444,13.06336,33.93750,1.95117,7.54326,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_26_28_061_01,obs_wrf-s3cn_arw_20150525-0000_26_28_061,2015-05-26 03:00:00,27.00000,3.00000,2.00000,-95.50510,29.76625,19.21996,56.57520,6.06055,8.71671,6.15660,22.63770
obs_wrf-s3cn_arw_20150525-0000_26_28_061_02,obs_wrf-s3cn_arw_20150525-0000_26_28_061,2015-05-26 04:00:00,28.00000,4.00000,3.00000,-95.36657,29.78156,14.75591,24.29883,6.01172,4.36860,-4.46406,-32.27637
obs_wrf-s3cn_arw_20150525-0000_26_26_062_00,obs_wrf-s3cn_arw_20150525-0000_26_26_062,2015-05-26 02:00:00,26.00000,2.00000,1.00000,-95.54453,30.25208,11.11820,22.16211,3.87207,3.66232,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_26_27_063_00,obs_wrf-s3cn_arw_20150525-0000_26_27_063,2015-05-26 02:00:00,26.00000,2.00000,1.00000,-94.35526,30.45621,11.45151,24.82910,1.47949,5.78248,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_26_27_063_01,obs_wrf-s3cn_arw_20150525-0000_26_27_063,2015-05-26 03:00:00,27.00000,3.00000,2.00000,-94.32361,30.53397,16.88417,39.62402,5.13574,7.55203,5.43266,14.79492
obs_wrf-s3cn_arw_20150525-0000_26_28_064_00,obs_wrf-s3cn_arw_20150525-0000_26_28_064,2015-05-26 02:00:00,26.00000,2.00000,1.00000,-94.48155,31.20999,10.71351,21.83691,3.52344,3.39699,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_26_28_064_01,obs_wrf-s3cn_arw_20150525-0000_26_28_064,2015-05-26 03:00:00,27.00000,3.00000,2.00000,-93.81842,30.79713,11.17581,31.15332,3.44922,4.53799,0.46230,9.31641
obs_wrf-s3cn_arw_20150525-0000_26_28_064_02,obs_wrf-s3cn_arw_20150525-0000_26_28_064,2015-05-26 04:00:00,28.00000,4.00000,3.00000,-93.62317,30.62525,8.91699,23.04785,2.41992,3.57285,-2.25882,-8.10547
obs_wrf-s3cn_arw_20150525-0000_27_27_065_00,obs_wrf-s3cn_arw_20150525-0000_27_27_065,2015-05-26 03:00:00,27.00000,3.00000,1.00000,-96.60482,29.70823,10.07760,22.40527,1.79395,3.96404,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_27_27_066_00,obs_wrf-s3cn_arw_20150525-0000_27_27_066,2015-05-26 03:00:00,27.00000,3.00000,1.00000,-92.81758,32.07016,11.89149,35.41211,0.05859,7.55176,0.00000,0.00000
